"","company","time","title","job_title","job_location","recommends_rating","outlook_rating","ceo_rating","experience","pros","cons","advice_to_management"
"651","Lunds & Byerlys","2018-04-01","""Waiter Position at L&B Restaurant""","Former Employee - Anonymous Employee","","Recommends","Approves of CEO","NA","I worked at Lunds & Byerlys part-time","Good training, lots of fun to meet other employees. Fair pay. Overall they care about their employees.","My hours were capped because of union policies. I would have liked to work more but was unable to.",""
"652","Lunds & Byerlys","2018-03-14","""deli clerk""","Current Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I have been working at Lunds & Byerlys part-time","There are a variety of jobs in the deli so it rarely gets boring.","No opportunities for advancement. Poor communication. Favoritism. Hard work with no time given to take a break. Salary cap at $14.25 an hour regardless of how long you work there.","Stop the favoritism. It would make all of the other stuff a little easier to take."
"653","Lunds & Byerlys","2018-02-13","""Best First Job Possible""","Current Employee - Courtesy Clerk","Eagan, MN","Recommends","Positive Outlook","Approves of CEO","I have been working at Lunds & Byerlys part-time","Very welcoming environment, great people to work with, and decent pay","Kind of biased towards certain employee's, they forced me to work 15 hrs on the weekend when most people only work 4.","Be more mindful of our lives outside of work"
"654","Lunds & Byerlys","2018-02-11","""Supervisor""","Former Employee - Anonymous Employee","","Recommends","Positive Outlook","Approves of CEO","","Neighborhood grocer, old-fashioned feel local company","Attendance point system makes it difficult to retain good help.","Consider adding 5 minute window to the point system"
"655","Lunds & Byerlys","2018-01-18","""Nice supplemental job""","Current Employee - Deli Clerk","Bloomington, MN","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I have been working at Lunds & Byerlys part-time (More than a year)","Co-workers a pleasant to work with.","Not a very high chance for full-time, or modified part-time until at a minimum of 18 months give or take. Customers can give off a holier than though attitude.","More communication between supervisors and co-workers. Have new workers trained by some one who's been there for at least 3 months."
"656","Lunds & Byerlys","2018-01-03","""Merchandiser""","Former Employee - Anonymous Employee","","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I worked at Lunds & Byerlys part-time","Nice co-workers, pleasant environment to work in","Union mentality impeads work environment on both mgmt side and union side",""
"657","Lunds & Byerlys","2017-12-14","""Great High School Job!""","Current Employee - Courtesy Clerk","Roseville, MN","Recommends","Positive Outlook","Approves of CEO","I have been working at Lunds & Byerlys part-time (More than a year)","Very forgiving and understanding bossesCustomers are usually forgivingCo-workers are willing to help you whenever you need itEmployees are valued","The store can be crowded (Roseville)The 'bagging station' can get over stuffed. It really depends on who you work withDrive up system can easily get over packed; bags usually are too heavy and there is only one person outside",""
"658","Lunds & Byerlys","2017-12-05","""Server""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Lunds & Byerlys part-time","Family oriented environment, flexible with schedules, clear attendance policy.","No real option for advancement",""
"659","Lunds & Byerlys","2017-11-20","""Bakery Clerk""","Former Employee - Bakery Clerk","Plymouth, MN","Recommends","Negative Outlook","Approves of CEO","I worked at Lunds & Byerlys part-time (More than a year)","Work with a lot of people","Not great oh, good for part time",""
"660","Lunds & Byerlys","2017-11-15","""Cashier""","Current Employee - Cashier","Edina, MN","Recommends","Positive Outlook","Approves of CEO","I have been working at Lunds & Byerlys part-time (Less than a year)","Staff is welcoming and fun to work with","Prices are very high compared to competitors","Lower prices and make store more unique"
"661","Cognizant Technology Solutions","2018-04-17","""Quality/Technical Analyst""","Former Employee - Anonymous Employee","","NA","NA","NA","I worked at Cognizant Technology Solutions full-time (More than 3 years)","You can grow with right opportunities. Your attitude to work and workplace and your success quotient will definitely bring you the right opportunities here.","It can be slightly more diversified with the kind of work.",""
"662","Cognizant Technology Solutions","2018-04-17","""Not so great, Not so bad""","Current Employee - Anonymous Employee","Teaneck, NJ","Doesn't Recommend","Neutral Outlook","No opinion of CEO","I have been working at Cognizant Technology Solutions full-time (Less than a year)","Good infra, good HR policies","Compensation for the past few years, incentives, layoffs","Avoid layoffs & more 4th rating"
